calendar_year,calendar_month,event_name,event_type,event_scope,circuit,city,country,start_date,end_date
2023,June,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-05-29,2023-06-04
2023,July,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-06-26,2023-07-02
2023,July,FIP PROMISES FIP PROMISES CURITIBA FIP PROMISES ALICANTE FIP PROMISES ROMA,Promises,FIP_PROMISES,FIP,,,2023-06-26,2023-07-02
2023,July,FIP TOUR PLATINUM FIP RISE HOORN FIP RISE koksidje FIP RISE BIELLA FIP RISE AGRIGENTO,Rise,FIP_TOUR,FIP,,,2023-06-26,2023-07-02
2023,July,FIP TOUR PROMO FIP RISE RIO BRANCO FIP PROMOTION MARBELLA FIP PROMOTION ELCHE,Rise,FIP_TOUR,FIP,,,2023-06-26,2023-07-02
2023,July,FIP TOUR RISE FIP RISE OSAKA FIP RISE CONCEPCION CHILE FIP RISE SWEDEN,Rise,FIP_TOUR,FIP,,Chile,2023-06-26,2023-07-02
2023,July,PREMIER PADEL MAJOR ITALY MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,Italy,2023-06-26,2023-07-02
2023,July,PREMIER PADEL P1 MADRID P1,P1,PREMIER_PADEL_P1,FIP,,,2023-06-26,2023-07-02
2023,August,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-07-31,2023-08-06
2023,August,FIP PROMISES FIP PROMISES III Inter. Andalucia FIP PROMISES BARI,Promises,FIP_PROMISES,FIP,,,2023-07-31,2023-08-06
2023,August,FIP TOUR FIP PROMOTION,Other,FIP_TOUR,FIP,,,2023-07-31,2023-08-06
2023,August,FIP TOUR FIP RISE LONDON HOP FIP RISE LITHUANIA DUBINGIAI FIP GOLD CIUDAD DE MEX FIP RISE MOL BELGIUM FIP STAR CAGLIARI,Rise,FIP_TOUR,FIP,,,2023-07-31,2023-08-06
2023,August,FIP TOUR FIP STAR GRAN CANARIA FIP RISE CORDOBA FIP RISE COPA DE PADEL,Rise,FIP_TOUR,FIP,,,2023-07-31,2023-08-06
2023,August,PREMIER PADEL MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-07-31,2023-08-06
2023,August,PREMIER PADEL P1 MENDOZA P1,P1,PREMIER_PADEL_P1,FIP,Mendoza,Argentina,2023-07-31,2023-08-06
2023,June,FIP CHAMPIONSHIP FIP JUNIORS WORLD CUP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-08-28,2023-09-03
2023,June,FIP PROMISES FIP PROMISES BRASIL,Promises,FIP_PROMISES,FIP,,,2023-08-28,2023-09-03
2023,June,FIP TOUR FIP PROMO AUSTRIA FIP RISE CHIBA JAPAN FIP PROMOTION CASTELLON,Rise,FIP_TOUR,FIP,,,2023-08-28,2023-09-03
2023,June,FIP TOUR FIP RISE COPA DE PADEL FIP PROMOTION HARD FIP RISE ROTTERDAM FIP RISE DORMUND FIP RISE LJUNGBY,Rise,FIP_TOUR,FIP,,,2023-08-28,2023-09-03
2023,June,FIP TOUR FIP STAR CAGLIARI FIP RISE IQUIQUE FIP PLATINUM COPENHAGE FIP RISE BARCELONA FIP GOLD OWEST CAIRO,Rise,FIP_TOUR,FIP,,,2023-08-28,2023-09-03
2023,June,PREMIER PADEL MAJOR PARIS MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-08-28,2023-09-03
2023,June,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-08-28,2023-09-03
2023,October,FIP CHAMPIONSHIP FIP EUROPEAN CHAMPIONSHIPS WORLD CHAMPIONSHIPS OPEN,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-09-25,2023-10-01
2023,October,FIP PROMISES FIP PROMISES ANCONA FIP PROMISES GRAN CANARIA,Promises,FIP_PROMISES,FIP,,,2023-09-25,2023-10-01
2023,October,FIP TOUR FIP ALKMAAR,Other,FIP_TOUR,FIP,,,2023-09-25,2023-10-01
2023,October,FIP TOUR FIP PLATINUM GUADALAJARA MX FIP RISE EINDHOVEN FIP RISE QTF,Rise,FIP_TOUR,FIP,,,2023-09-25,2023-10-01
2023,October,FIP TOUR FIP RISE BORAS II,Rise,FIP_TOUR,FIP,,,2023-09-25,2023-10-01
2023,October,FIP TOUR FIP RISE MIAMI FIP RISE TURKEY,Rise,FIP_TOUR,FIP,,,2023-09-25,2023-10-01
2023,October,PREMIER PADEL MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-09-25,2023-10-01
2023,October,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-09-25,2023-10-01
2023,November,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-10-30,2023-11-05
2023,November,FIP PROMISES PROMISES SWEDEN II FIP PROMISES TILBURG,Promises,FIP_PROMISES,FIP,,,2023-10-30,2023-11-05
2023,November,FIP RISE QTF 2,Rise,FIP_TOUR,FIP,,,2023-10-30,2023-11-05
2023,November,FIP TOUR FIP RISE STRATFORD FIP STAR NORWAY OPEN FIP RISE BOURG EN BRESSE FIP RISE,Rise,FIP_TOUR,FIP,,,2023-10-30,2023-11-05
2023,November,FIP TOUR FIP RISE TENERIFE FIP GOLD FINLAND FIP STAR TILBURG FIP STAR QTF,Rise,FIP_TOUR,FIP,,,2023-10-30,2023-11-05
2023,November,PREMIER PADEL MAJOR MEXICO,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-10-30,2023-11-05
2023,November,PREMIER PADEL P1 NEW GIZA P1,P1,PREMIER_PADEL_P1,FIP,,,2023-10-30,2023-11-05
2023,December,FIP CHAMPIONSHIP FIP FINALS 2023,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-11-27,2023-12-03
2023,December,FIP PROMISES FIP PROMISES BARCELONA,Promises,FIP_PROMISES,FIP,,,2023-11-27,2023-12-03
2023,December,FIP TOUR STAR QTF FIP RISE ANDALUCIA,Rise,FIP_TOUR,FIP,,,2023-11-27,2023-12-03
2023,December,FIP TOUR VIÑA DEL MAR II,Other,FIP_TOUR,FIP,Vina del Mar,Chile,2023-11-27,2023-12-03
2023,December,PREMIER PADEL MAJOR MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-11-27,2023-12-03
2023,December,PREMIER PADEL P1 MILANO P1,P1,PREMIER_PADEL_P1,FIP,Milan,Italy,2023-11-27,2023-12-03
